text,category,action
ip address conflict detected,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
ip address conflict detected,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
ip address conflict detected,network,Restart router and check cables
internet is very slow,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
ip address conflict detected,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
internet is very slow,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
internet is very slow,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
cannot connect to wifi,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
internet is very slow,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
dns server not responding,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
cannot connect to wifi,network,Restart router and check cables
cannot connect to wifi,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
network cable unplugged,network,Restart router and check cables
ip address conflict detected,network,Restart router and check cables
internet is very slow,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
vpn not connecting,network,Restart router and check cables
router keeps restarting,network,Restart router and check cables
ip address conflict detected,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
frequent network disconnection,network,Restart router and check cables
computer not turning on,hardware,Check physical connections or repair hardware
hard drive failure,hardware,Check physical connections or repair hardware
mouse is not detected,hardware,Check physical connections or repair hardware
screen flickering,hardware,Check physical connections or repair hardware
computer not turning on,hardware,Check physical connections or repair hardware
screen flickering,hardware,Check physical connections or repair hardware
usb port not working,hardware,Check physical connections or repair hardware
laptop is overheating,hardware,Check physical connections or repair hardware
mouse is not detected,hardware,Check physical connections or repair hardware
battery not charging,hardware,Check physical connections or repair hardware
mouse is not detected,hardware,Check physical connections or repair hardware
computer not turning on,hardware,Check physical connections or repair hardware
battery not charging,hardware,Check physical connections or repair hardware
laptop is overheating,hardware,Check physical connections or repair hardware
computer not turning on,hardware,Check physical connections or repair hardware
keyboard not working,hardware,Check physical connections or repair hardware
screen flickering,hardware,Check physical connections or repair hardware
laptop is overheating,hardware,Check physical connections or repair hardware
screen flickering,hardware,Check physical connections or repair hardware
hard drive failure,hardware,Check physical connections or repair hardware
keyboard not working,hardware,Check physical connections or repair hardware
keyboard not working,hardware,Check physical connections or repair hardware
